in_fill,time,lumi_inst,lumi_in_fill,lumi_since_last_point,lumi_last_fill,fill_num,time_in_fill,time_in_fill_stable,time_from_last_fill,last_dump_duration,last_fill_duration
1,1511084393,7245.771662247,39067242.08857986,283639.35483107704,41400131.904437564,6397,76604,75551.0,81749,5145,134617
1,1511085293,7181.950152473,39348450.49722776,281208.408647888,41400131.904437564,6397,77513,76460.0,82649,5136,134617
1,1511086193,7120.050814482,39620071.67714921,271621.179921454,41400131.904437564,6397,78399,77346.0,83549,5150,134617
1,1511087093,7054.130708571,39896484.6463666,276412.96921742003,41400131.904437564,6397,79308,78255.0,84449,5141,134617
1,1511087993,6993.060138207,40170407.29549208,273922.64912548306,41400131.904437564,6397,80217,79164.0,85349,5132,134617
1,1511088893,6934.235421404001,40435069.829406425,264662.53391433496,41400131.904437564,6397,81103,80050.0,86249,5146,134617
1,1511089793,6877.336433326999,40704378.001402035,269308.171995605,41400131.904437564,6397,82000,80947.0,87149,5149,134617
1,1511090693,6818.29758858,40971410.20320377,267032.20180171996,41400131.904437564,6397,82909,81856.0,88049,5140,134617
1,1511091593,6763.046176318,41236144.18826979,264733.98506599996,41400131.904437564,6397,83818,82765.0,88949,5131,134617
1,1511092493,6700.946938153001,41492013.21666332,262632.07456987904,41400131.904437564,6397,84704,83651.0,89849,5145,134617
1,1511093393,6644.452730145,41752307.06173874,260293.845075407,41400131.904437564,6397,85613,84560.0,90749,5136,134617
1,1511094293,6600.679571669,42003922.93363476,251615.871896,41400131.904437564,6397,86499,85446.0,91649,5150,134617
1,1511095193,6540.868870376,42260006.69394199,256083.76030724103,41400131.904437564,6397,87408,86355.0,92549,5141,134617
1,1511096093,6488.538419381999,42514018.66038613,254011.966444158,41400131.904437564,6397,88317,87264.0,93449,5132,134617
1,1511096993,6439.180861016999,42759666.285642296,245647.62525618103,41400131.904437564,6397,89203,88150.0,94349,5146,134617
1,1511097893,6388.026335246999,43009817.94567188,250151.66002956,41400131.904437564,6397,90112,89059.0,95249,5137,134617
1,1511098793,6342.202243666,43251749.6585985,241931.71292663203,41400131.904437564,6397,90998,89945.0,96149,5151,134617
1,1511099693,6291.707175056,43498082.34246376,246332.68386525306,41400131.904437564,6397,91907,90854.0,97049,5142,134617
1,1511100593,6237.64093607,43742394.40904474,244312.066580984,41400131.904437564,6397,92816,91763.0,97949,5133,134617
1,1511101493,6193.723365725,43978538.29768827,236143.88864350994,41400131.904437564,6397,93702,92649.0,98849,5147,134617
1,1511102393,6145.748746645,44219070.66030823,240532.36261998498,41400131.904437564,6397,94611,93558.0,99749,5138,134617
1,1511103293,6097.372904438001,44451642.14218297,232571.481874752,41400131.904437564,6397,95497,94444.0,100649,5152,134617
1,1511104193,6051.415783204,44688455.61531246,236813.473129477,41400131.904437564,6397,96406,95353.0,101549,5143,134617
1,1511105093,6004.134767931,44923468.90485034,235013.28953788598,41400131.904437564,6397,97315,96262.0,102449,5134,134617
1,1511105993,5955.44627047,45150685.98692494,227217.08207458098,41400131.904437564,6397,98201,97148.0,103349,5148,134617
1,1511106893,5909.784019776999,45382007.51435077,231321.52742584998,41400131.904437564,6397,99110,98057.0,104249,5139,134617
1,1511107793,5865.832658478001,45605712.29344995,223704.77909919395,41400131.904437564,6397,99996,98943.0,105149,5153,134617
1,1511108693,5821.022651233001,45833596.70099626,227884.407546304,41400131.904437564,6397,100905,99852.0,106049,5144,134617
1,1511109593,5778.096045098,46059707.090532154,226110.38953590198,41400131.904437564,6397,101814,100761.0,106949,5135,134617
1,1511110493,5733.361089341999,46278419.83656032,218712.74602816397,41400131.904437564,6397,102700,101647.0,107849,5149,134617
1,1511111393,5688.845952639001,46501180.29826214,222760.461701819,41400131.904437564,6397,103609,102556.0,108749,5140,134617
1,1511112293,5647.306198425999,46722225.51900734,221045.22074518903,41400131.904437564,6397,104518,103465.0,109649,5131,134617
1,1511113193,5605.84718681,46936048.00605184,219469.79324292898,41400131.904437564,6397,105404,104351.0,110549,5145,134617
1,1511114093,5568.232874455,47153866.98310539,217818.977053537,41400131.904437564,6397,106313,105260.0,111449,5136,134617
1,1511114993,5523.771447585999,47364501.73498598,210634.75188057902,41400131.904437564,6397,107199,106146.0,112349,5150,134617
1,1511115893,5483.139069430999,47579147.43975994,214645.704773941,41400131.904437564,6397,108108,107055.0,113249,5141,134617
1,1511116793,5444.751833448,47792266.83947606,213119.399716137,41400131.904437564,6397,109017,107964.0,114149,5132,134617
1,1511117693,5421.16539134,47958251.98870716,165985.149231082,41400131.904437564,6397,109903,108850.0,115049,5146,134617
0,1511118593,0.0,0.0,54153.156079619,48012405.14478679,0,0,0.0,682,682,110136
0,1511119493,0.0,0.0,0.0,48012405.14478679,0,0,0.0,1582,1582,110136
0,1511120393,0.0,0.0,0.0,48012405.14478679,0,0,0.0,2482,2482,110136
0,1511121293,0.0,0.0,0.0,48012405.14478679,0,0,0.0,3382,3382,110136
0,1511122193,0.0,0.0,0.0,48012405.14478679,0,0,0.0,4282,4282,110136
0,1511123093,0.0,0.0,0.0,48012405.14478679,0,0,0.0,5182,5182,110136
1,1511123993,20580.43292082,174461.56751078,174461.56751078,48012405.14478679,6398,416,0.0,6082,5666,110136
1,1511124893,21428.294215709,1024941.3483817728,850479.7808709929,48012405.14478679,6398,1325,536.0,6982,5657,110136
1,1511125793,20694.343296359,1824185.8082435878,799244.459861815,48012405.14478679,6398,2211,1422.0,7882,5671,110136
1,1511126693,20026.466142842,2617526.582819417,793340.7745758276,48012405.14478679,6398,3120,2331.0,8782,5662,110136
1,1511127593,19426.660334123,3386311.1703736936,768784.5875542769,48012405.14478679,6398,4029,3240.0,9682,5653,110136
1,1511128493,18916.981759909,3922180.314645777,555295.8046062059,48012405.14478679,6398,4915,4126.0,10582,5667,110136
1,1511129393,18424.900092151,4649956.856840494,727776.5421947172,48012405.14478679,6398,5824,5035.0,11482,5658,110136
1,1511130293,17969.17891448,5340832.404487385,690875.547646892,48012405.14478679,6398,6710,5921.0,12382,5672,110136
1,1511131193,17558.036187088997,6033416.293333639,692583.888846255,48012405.14478679,6398,7619,6830.0,13282,5663,110136
1,1511132093,17177.651053793,6710427.718144363,677011.4248107241,48012405.14478679,6398,8528,7739.0,14182,5654,110136
1,1511132993,16839.644757471,7356650.081300557,646222.3631561932,48012405.14478679,6398,9414,8625.0,15082,5668,110136
1,1511133893,16493.949774014,8006355.182125203,649705.1008246458,48012405.14478679,6398,10323,9534.0,15982,5659,110136
1,1511134793,16183.292097993999,8627064.485210769,620709.303085567,48012405.14478679,6398,11209,10420.0,16882,5673,110136
1,1511135693,15872.329947687,9252027.829049835,624963.3438390611,48012405.14478679,6398,12118,11329.0,17782,5664,110136
1,1511136593,15564.344246952,9865371.843644679,613344.0145948479,48012405.14478679,6398,13027,12238.0,18682,5655,110136
1,1511137493,15343.890635397,10448338.753140856,582966.9094961749,48012405.14478679,6398,13913,13124.0,19582,5669,110136
1,1511138393,15076.244932135,11041383.586535005,593044.833394146,48012405.14478679,6398,14822,14033.0,20482,5660,110136
1,1511139293,14828.082737686002,11609198.609157605,567815.022622598,48012405.14478679,6398,15708,14919.0,21382,5674,110136
1,1511140193,14581.989261056999,12182484.952196449,573286.3430388392,48012405.14478679,6398,16617,15828.0,22282,5665,110136
1,1511141093,14351.335760887,12746597.106509427,564112.1543129749,48012405.14478679,6398,17526,16737.0,23182,5656,110136
1,1511141993,14122.632888043001,13287551.464444382,540954.357934958,48012405.14478679,6398,18412,17623.0,24082,5670,110136
1,1511142893,13878.158531686999,13833672.69980967,546121.235365288,48012405.14478679,6398,19321,18532.0,24982,5661,110136
1,1511143793,13650.783109822,14356653.496676853,522980.796867188,48012405.14478679,6398,20207,19418.0,25882,5675,110136
1,1511144693,13468.134107051,14885352.707649162,528699.210972311,48012405.14478679,6398,21116,20327.0,26782,5666,110136
1,1511145593,13293.042895928,15406777.004928464,521424.297279302,48012405.14478679,6398,22025,21236.0,27682,5657,110136
1,1511146493,13091.799619993999,15908120.90996948,501343.90504101606,48012405.14478679,6398,22911,22122.0,28582,5671,110136
1,1511147393,12901.597093907,16414906.474793736,506785.564824256,48012405.14478679,6398,23820,23031.0,29482,5662,110136
1,1511148293,12739.709253733,16914726.507369995,499820.03257625795,48012405.14478679,6398,24729,23940.0,30382,5653,110136
1,1511149193,12569.253450212,17395322.07614869,493335.27803242306,48012405.14478679,6398,25615,24826.0,31282,5667,110136
1,1511150093,12397.919793256002,17882257.22499296,486935.1488442629,48012405.14478679,6398,26524,25735.0,32182,5658,110136
1,1511150993,12197.695225685,18349596.623565532,467339.39857257914,48012405.14478679,6398,27410,26621.0,33082,5672,110136
1,1511151893,12035.248234133998,18822090.710637532,472494.0870719999,48012405.14478679,6398,28319,27530.0,33982,5663,110136
1,1511152793,11846.191754954,19287673.145316727,465582.43467919406,48012405.14478679,6398,29228,28439.0,34882,5654,110136
1,1511153693,11695.624240315,19734588.471319858,446915.32600312895,48012405.14478679,6398,30114,29325.0,35782,5668,110136
1,1511154593,11557.222180773999,20188110.838130794,453522.36681095103,48012405.14478679,6398,31023,30234.0,36682,5659,110136
